Source,Target,Weight
MTBLS119,MTBLS2980,0.2222222222222222
MTBLS119,MTBLS3251,0.25
MTBLS119,MTBLS3637,0.25
MTBLS119,MTBLS385,0.2222222222222222
MTBLS119,MTBLS3860,0.21428571428571427
MTBLS119,MTBLS39,0.25
MTBLS119,MTBLS415,0.3333333333333333
MTBLS119,MTBLS479,0.3333333333333333
MTBLS119,MTBLS484,0.3333333333333333
MTBLS119,MTBLS487,0.25
MTBLS119,MTBLS5132,0.2857142857142857
MTBLS119,MTBLS5148,0.2857142857142857
MTBLS119,MTBLS557,0.25
MTBLS119,MTBLS5778,0.2222222222222222
MTBLS119,MTBLS615,0.4
MTBLS119,MTBLS688,0.25
MTBLS119,MTBLS6927,0.2222222222222222
MTBLS119,MTBLS73,0.2857142857142857
MTBLS119,MTBLS79,0.2857142857142857
MTBLS119,MTBLS811,0.2222222222222222
MTBLS119,MTBLS825,0.25
MTBLS119,MTBLS893,0.21428571428571427
MTBLS1191,MTBLS1274,0.3076923076923077
MTBLS1191,MTBLS1388,0.25
MTBLS1191,MTBLS1411,0.3125
MTBLS1191,MTBLS178,0.3
MTBLS1191,MTBLS216,0.21428571428571427
MTBLS1191,MTBLS217,0.23529411764705882
MTBLS1191,MTBLS2224,0.26666666666666666
MTBLS1191,MTBLS228,0.2222222222222222
MTBLS1191,MTBLS39,0.3
MTBLS1191,MTBLS4223,0.21428571428571427
MTBLS1191,MTBLS479,0.2222222222222222
MTBLS1191,MTBLS5877,0.25
MTBLS12,MTBLS13,1.0
MTBLS12,MTBLS169,0.5
MTBLS12,MTBLS7,1.0
MTBLS120,MTBLS188,0.25
MTBLS120,MTBLS201,0.25
MTBLS120,MTBLS218,0.25
MTBLS120,MTBLS273,0.2222222222222222
MTBLS120,MTBLS278,0.23076923076923078
MTBLS120,MTBLS415,0.25
MTBLS120,MTBLS427,0.2222222222222222
MTBLS120,MTBLS484,0.25
MTBLS120,MTBLS5132,0.2222222222222222
MTBLS120,MTBLS5148,0.2222222222222222
MTBLS120,MTBLS79,0.2222222222222222
MTBLS121,MTBLS1301,0.23529411764705882
MTBLS121,MTBLS135,0.29411764705882354
MTBLS121,MTBLS138,0.4117647058823529
MTBLS121,MTBLS1388,0.2631578947368421
MTBLS121,MTBLS145,0.5
MTBLS121,MTBLS158,0.3684210526315789
MTBLS121,MTBLS159,0.3888888888888889
MTBLS121,MTBLS180,0.5384615384615384
MTBLS121,MTBLS181,0.35
MTBLS121,MTBLS186,0.4666666666666667
MTBLS121,MTBLS201,0.25
MTBLS121,MTBLS204,0.2413793103448276
MTBLS121,MTBLS205,0.21875
MTBLS121,MTBLS2215,0.3888888888888889
MTBLS121,MTBLS2394,0.2692307692307692
MTBLS121,MTBLS284,0.5384615384615384
MTBLS121,MTBLS318,0.3181818181818182
MTBLS121,MTBLS3318,0.25925925925925924
MTBLS121,MTBLS3320,0.5384615384615384
MTBLS121,MTBLS3786,0.3684210526315789
MTBLS121,MTBLS39,0.21428571428571427
MTBLS121,MTBLS406,0.21212121212121213
MTBLS121,MTBLS407,0.5
MTBLS121,MTBLS440,0.2692307692307692
MTBLS121,MTBLS442,0.2916666666666667
MTBLS121,MTBLS467,0.3888888888888889
MTBLS121,MTBLS520,0.25
MTBLS121,MTBLS533,0.30434782608695654
MTBLS121,MTBLS5462,0.35
MTBLS121,MTBLS5543,0.3181818181818182
MTBLS121,MTBLS679,0.21052631578947367
MTBLS121,MTBLS686,0.4666666666666667
MTBLS121,MTBLS697,0.28
MTBLS121,MTBLS702,0.3333333333333333
MTBLS121,MTBLS730,0.3684210526315789
MTBLS121,MTBLS795,0.30434782608695654
MTBLS121,MTBLS833,0.4375
MTBLS121,MTBLS834,0.3333333333333333
MTBLS1210,MTBLS1876,0.21428571428571427
MTBLS1219,MTBLS178,0.2222222222222222
MTBLS1219,MTBLS3075,0.24
MTBLS1219,MTBLS3415,0.2222222222222222
MTBLS1219,MTBLS5772,0.21428571428571427
MTBLS1219,MTBLS6758,0.23076923076923078
MTBLS1219,MTBLS679,0.21739130434782608
MTBLS1219,MTBLS688,0.2222222222222222
MTBLS1221,MTBLS1223,0.2727272727272727
MTBLS1221,MTBLS4223,0.21052631578947367
MTBLS1225,MTBLS1267,0.20689655172413793
MTBLS124,MTBLS37,0.3333333333333333
MTBLS125,MTBLS126,0.75
MTBLS125,MTBLS127,0.7142857142857143
MTBLS126,MTBLS127,0.7142857142857143
MTBLS1264,MTBLS1319,0.35
MTBLS1264,MTBLS1627,0.2926829268292683
MTBLS1264,MTBLS1791,0.325
MTBLS1264,MTBLS1792,0.275
MTBLS1266,MTBLS1311,0.8571428571428571
MTBLS1266,MTBLS2016,0.22580645161290322
MTBLS1266,MTBLS476,0.2222222222222222
MTBLS1267,MTBLS1388,0.22727272727272727
MTBLS1267,MTBLS1698,0.20833333333333334
MTBLS1267,MTBLS180,0.21052631578947367
MTBLS1267,MTBLS284,0.21052631578947367
MTBLS1267,MTBLS3320,0.21052631578947367
MTBLS1267,MTBLS809,0.2222222222222222
MTBLS1274,MTBLS1411,0.2222222222222222
MTBLS1274,MTBLS178,0.2727272727272727
MTBLS1274,MTBLS217,0.2222222222222222
MTBLS1274,MTBLS2224,0.25
MTBLS1274,MTBLS39,0.2727272727272727
MTBLS128,MTBLS1301,0.23529411764705882
MTBLS128,MTBLS1402,0.22727272727272727
MTBLS128,MTBLS1430,0.2857142857142857
MTBLS128,MTBLS1919,0.2727272727272727
MTBLS128,MTBLS213,0.2222222222222222
MTBLS128,MTBLS228,0.25
MTBLS128,MTBLS270,0.21428571428571427
MTBLS128,MTBLS381,0.21428571428571427
MTBLS128,MTBLS39,0.21428571428571427
MTBLS128,MTBLS5195,0.25
MTBLS128,MTBLS520,0.25
MTBLS128,MTBLS5272,0.23529411764705882
MTBLS128,MTBLS530,0.21052631578947367
MTBLS128,MTBLS544,0.3076923076923077
MTBLS128,MTBLS572,0.2857142857142857
MTBLS128,MTBLS613,0.2631578947368421
MTBLS128,MTBLS6505,0.22727272727272727
MTBLS128,MTBLS679,0.21052631578947367
MTBLS1282,MTBLS1301,0.22727272727272727
MTBLS1282,MTBLS1465,0.21739130434782608
MTBLS1282,MTBLS1707,0.23076923076923078
MTBLS1282,MTBLS1783,0.21621621621621623
MTBLS1282,MTBLS1861,0.22727272727272727
MTBLS1282,MTBLS210,0.22727272727272727
MTBLS1282,MTBLS530,0.2608695652173913
MTBLS1282,MTBLS6758,0.2222222222222222
MTBLS1285,MTBLS1286,0.4642857142857143
MTBLS1285,MTBLS1390,0.20689655172413793
MTBLS1285,MTBLS213,0.24
MTBLS1286,MTBLS2021,0.20833333333333334
MTBLS1286,MTBLS6000,0.21212121212121213
MTBLS13,MTBLS169,0.5
MTBLS13,MTBLS7,1.0
MTBLS1301,MTBLS135,0.26666666666666666
MTBLS1301,MTBLS138,0.23529411764705882
MTBLS1301,MTBLS1388,0.23529411764705882
MTBLS1301,MTBLS1430,0.25
MTBLS1301,MTBLS145,0.2857142857142857
MTBLS1301,MTBLS158,0.21052631578947367
MTBLS1301,MTBLS159,0.2222222222222222
MTBLS1301,MTBLS160,0.25
MTBLS1301,MTBLS1698,0.21052631578947367
MTBLS1301,MTBLS1708,0.23076923076923078
MTBLS1301,MTBLS1714,0.21428571428571427
MTBLS1301,MTBLS180,0.3076923076923077
MTBLS1301,MTBLS186,0.26666666666666666
MTBLS1301,MTBLS1861,0.2857142857142857
MTBLS1301,MTBLS2215,0.2222222222222222
MTBLS1301,MTBLS2406,0.23076923076923078
MTBLS1301,MTBLS2806,0.2777777777777778
MTBLS1301,MTBLS284,0.3076923076923077
MTBLS1301,MTBLS2871,0.25
MTBLS1301,MTBLS3038,0.23076923076923078
MTBLS1301,MTBLS3075,0.21052631578947367
MTBLS1301,MTBLS3320,0.3076923076923077
MTBLS1301,MTBLS3786,0.21052631578947367
MTBLS1301,MTBLS39,0.2727272727272727
MTBLS1301,MTBLS3950,0.23076923076923078
MTBLS1301,MTBLS407,0.2857142857142857
MTBLS1301,MTBLS4307,0.2222222222222222
MTBLS1301,MTBLS4568,0.21052631578947367
MTBLS1301,MTBLS467,0.2222222222222222
MTBLS1301,MTBLS4708,0.2222222222222222
MTBLS1301,MTBLS496,0.2222222222222222
MTBLS1301,MTBLS5132,0.3
MTBLS1301,MTBLS5148,0.3
MTBLS1301,MTBLS5155,0.21428571428571427
MTBLS1301,MTBLS5195,0.21428571428571427
MTBLS1301,MTBLS520,0.3076923076923077
MTBLS1301,MTBLS533,0.22727272727272727
